,g,layers,epoch,kt,avg
0,SF,1,15,0.9644955512748826,0.002241601606361796
1,SF,1,15,0.9720282878340367,0.0013772117161282731
2,SF,1,15,0.9734404003224812,0.001542506576719298
3,SF,1,15,0.9736905990058,0.001478539515465394
4,SF,1,15,0.9738700917029262,0.0014791128633452606
5,SF,1,15,0.9738244258955969,0.001470307371777115
6,SF,1,15,0.9737832168565953,0.001372506248377988
7,SF,1,15,0.9736673992656755,0.001248422209290861
8,SF,1,15,0.9734337006160152,0.0012687838245546677
9,SF,1,15,0.9735596140153742,0.0012486330279770403
10,SF,1,15,0.9734497933223313,0.0014190312353421352
11,SF,1,15,0.9734227665303077,0.0014452882855747846
12,SF,1,15,0.9732137886253307,0.001184940052838362
13,SF,1,15,0.9728796474197005,0.0011879053455170162
14,SF,1,15,0.9727986440595975,0.0012494772497139526
15,SF,2,15,0.9727238981009603,0.0013526599147282053
16,SF,2,15,0.9749267187376034,0.0015817261819504416
17,SF,2,15,0.9756410067902606,0.0017137307427558565
18,SF,2,15,0.9752681518892882,0.001607269520030352
19,SF,2,15,0.9758526900944842,0.0018329000978238696
20,SF,2,15,0.9758175061457063,0.0018153985272752354
21,SF,2,15,0.9757093088482687,0.001675848547910304
22,SF,2,15,0.9756733457490689,0.0017424940008103264
23,SF,2,15,0.9752929653437432,0.0017635909162057209
24,SF,2,15,0.9753262577367711,0.001693163791087978
25,SF,2,15,0.9752463574829477,0.0016537948951911147
26,SF,2,15,0.9750153100975387,0.001984263537557699
27,SF,2,15,0.9750203255433544,0.0017611028135743154
28,SF,2,15,0.9747683156039505,0.0018424974701706917
29,SF,2,15,0.9745668554445859,0.0018250098661365469
30,SF,3,15,0.974327694139457,0.001516822522161149
31,SF,3,15,0.9757020995625799,0.0019024210876830425
32,SF,3,15,0.9762129490817815,0.001976293071378552
33,SF,3,15,0.9764049171882256,0.0019915119983719863
34,SF,3,15,0.9765348093552018,0.0020611595166680242
35,SF,3,15,0.9765287890448653,0.0019903118842406584
36,SF,3,15,0.9764786636078346,0.001904231047715008
37,SF,3,15,0.9764131070180444,0.0019827048581256275
38,SF,3,15,0.9762052141556417,0.001924365377901235
39,SF,3,15,0.9760851576552735,0.0019285063205562952
40,SF,3,15,0.9759659592886759,0.002023581884765336
41,SF,3,15,0.9759427447045281,0.0020685581231358226
42,SF,3,15,0.9756324051377604,0.0017471612610203318
43,SF,3,15,0.9753704738832214,0.0018248426719578523
44,SF,3,15,0.9751971025945327,0.0017206816203702313
45,SF,4,15,0.9752890672891212,0.00178268765567941
46,SF,4,15,0.9761249961559437,0.0020401741252136637
47,SF,4,15,0.9764174698758289,0.002109427519521273
48,SF,4,15,0.9765577845404476,0.0020632458251425715
49,SF,4,15,0.9766755438973316,0.002169466820428116
50,SF,4,15,0.9767091034115498,0.002184021667099115
51,SF,4,15,0.9766028904023585,0.002078588560856446
52,SF,4,15,0.9766443176579627,0.002245855532931667
53,SF,4,15,0.9763479252558316,0.002133057529378216
54,SF,4,15,0.9762956025700763,0.002170556272576456
55,SF,4,15,0.9762171316327315,0.002224744159809294
56,SF,4,15,0.9759660824553874,0.0023058984538487826
57,SF,4,15,0.9759171806911565,0.002187299078231534
58,SF,4,15,0.975479578206188,0.002124092301595868
59,SF,4,15,0.9755731108149919,0.0021016635631848093
60,SF,5,15,0.9757350260213196,0.0018802553200096374
61,SF,5,15,0.9764799514874929,0.002172870024121585
62,SF,5,15,0.9767626369598196,0.0023143760248731282
63,SF,5,15,0.9767764595225511,0.0022928451576263347
64,SF,5,15,0.976921965258,0.002502905190305931
65,SF,5,15,0.9770032998796341,0.0024509282311046157
66,SF,5,15,0.976816290019235,0.002498569666965978
67,SF,5,15,0.9767189388445366,0.0025204753206183265
68,SF,5,15,0.9764867910149182,0.0025483437846035993
69,SF,5,15,0.9764037011225148,0.0024929826551090724
70,SF,5,15,0.9762898914668092,0.0025858733485427843
71,SF,5,15,0.9757767626922662,0.00263353010551764
72,SF,5,15,0.9757615161104004,0.0025161509560192637
73,SF,5,15,0.9753816238189679,0.002523425507119693
74,SF,5,15,0.9754861154638947,0.002441947178982203
75,SF,6,15,0.9760362127996327,0.0020461998748843796
76,SF,6,15,0.9766756324283834,0.002324625578100977
77,SF,6,15,0.9769748135293653,0.0024367766573384175
78,SF,6,15,0.9770174313939302,0.0024812635507465396
79,SF,6,15,0.9771275942470196,0.002564254167138481
80,SF,6,15,0.977006085849131,0.0024274894481534056
81,SF,6,15,0.9769592450741987,0.00245229437282539
82,SF,6,15,0.9768520935938769,0.002449042229244275
83,SF,6,15,0.9767372812042308,0.00237748642111927
84,SF,6,15,0.9765017574197218,0.002379794059266961
85,SF,6,15,0.9764900017547967,0.0024308567977093087
86,SF,6,15,0.9760220133197773,0.0022952636509416756
87,SF,6,15,0.9760392710422787,0.0021962048783199873
88,SF,6,15,0.975523199438667,0.0022263841764167684
89,SF,6,15,0.9757430973200873,0.002232918497604642
90,SF,7,15,0.9762860679236367,0.0018773277856221414
91,SF,7,15,0.9768656220822892,0.002161778555608804
92,SF,7,15,0.9771127113229013,0.002273837790156803
93,SF,7,15,0.9767189530601101,0.0021558117219958404
94,SF,7,15,0.9769509105231323,0.0023395072346646248
95,SF,7,15,0.9768758619425174,0.0024106049668691596
96,SF,7,15,0.9767360299891934,0.002371756732374853
97,SF,7,15,0.9766057073146875,0.0024217603619135645
98,SF,7,15,0.9764295767075659,0.002499547707236226
99,SF,7,15,0.9762945281378347,0.0024455520189678895
100,SF,7,15,0.9761621646932728,0.002430105332935836
101,SF,7,15,0.9757446779897203,0.002569016924100199
102,SF,7,15,0.9755134357464403,0.0023239989903388494
103,SF,7,15,0.9752213419744452,0.00236650698493323
104,SF,7,15,0.9752894265461249,0.002367841950634817
105,ER,1,15,0.8476516004138265,0.05896703764445274
106,ER,1,15,0.8657551380011685,0.0498579185739622
107,ER,1,15,0.870888431085574,0.04513183801787287
108,ER,1,15,0.8733002775851315,0.04421034251437116
109,ER,1,15,0.8744301842809197,0.04364223957568254
110,ER,1,15,0.8757152125055999,0.04316360627766657
111,ER,1,15,0.8774027703164942,0.04288927679925683
112,ER,1,15,0.8780708958642954,0.04303381592130753
113,ER,1,15,0.8789729748922814,0.04189104394310002
114,ER,1,15,0.8798776581936186,0.04113381146941871
115,ER,1,15,0.8798206356820433,0.04012246840159391
116,ER,1,15,0.8786978847210977,0.04113442408546554
117,ER,1,15,0.8798565191996339,0.0410049396892918
118,ER,1,15,0.8793110805501332,0.04148691508560518
119,ER,1,15,0.8792360229737097,0.041819357913945684
120,ER,2,15,0.8616268169370638,0.057519913129572546
121,ER,2,15,0.8737394944799496,0.04658830341298073
122,ER,2,15,0.8793352312404037,0.040876531410152205
123,ER,2,15,0.882165350298524,0.03854286717352316
124,ER,2,15,0.8839627085773281,0.03634815188794851
125,ER,2,15,0.88482152940674,0.03448315098073198
126,ER,2,15,0.8850399744704702,0.03368082605393575
127,ER,2,15,0.8848435916307112,0.0342495753719836
128,ER,2,15,0.8844352768612843,0.034866393695978236
129,ER,2,15,0.8847630943517514,0.034658828105001184
130,ER,2,15,0.8840980251501669,0.0357762807663396
131,ER,2,15,0.8839973694864701,0.03608613691959528
132,ER,2,15,0.8834564201795903,0.03591182338777203
133,ER,2,15,0.8831226461260421,0.03585259989266371
134,ER,2,15,0.8828042345836209,0.03650420275347793
135,ER,3,15,0.8669924282926393,0.06175573384165775
136,ER,3,15,0.8762476595054185,0.0489232998429493
137,ER,3,15,0.8809862250633772,0.04158524932326415
138,ER,3,15,0.8831891862285268,0.039070676728289705
139,ER,3,15,0.8845770940627145,0.0381937010165181
140,ER,3,15,0.8853864342681712,0.037901963766892595
141,ER,3,15,0.8856428304146702,0.037483545088059504
142,ER,3,15,0.8865485721483454,0.03655517150284364
143,ER,3,15,0.8862051645134098,0.03678630551635577
144,ER,3,15,0.886119069134157,0.035775944762454756
145,ER,3,15,0.8862438056316012,0.03637732547976472
146,ER,3,15,0.8849333394364385,0.03809623388085085
147,ER,3,15,0.8849049840823362,0.03829405067642464
148,ER,3,15,0.8847170067012387,0.03748935678015398
149,ER,3,15,0.8843331867156168,0.03721014531593757
150,ER,4,15,0.8649236376593246,0.05363746291111091
151,ER,4,15,0.8720895588046164,0.049394471719370545
152,ER,4,15,0.8704457660382303,0.04811242436137071
153,ER,4,15,0.8702452834688067,0.05164210456671353
154,ER,4,15,0.8660629220421112,0.05798775682301031
155,ER,4,15,0.8628954671700285,0.06278778451109195
156,ER,4,15,0.8565872180236432,0.0671894651255672
157,ER,4,15,0.8525497286625919,0.07399234986232492
158,ER,4,15,0.8473100336347607,0.07387231215229975
159,ER,4,15,0.8470605718781996,0.0804824821877115
160,ER,4,15,0.8448906310748654,0.07142049552147872
161,ER,4,15,0.8372677585143187,0.07863526468564006
162,ER,4,15,0.8351363534041816,0.08060241009712424
163,ER,4,15,0.8384656838763108,0.08528097339044008
164,ER,4,15,0.8282957795507622,0.083888759353884
165,ER,5,15,0.8694781813226762,0.05168660270776917
166,ER,5,15,0.872285974448744,0.05668445553087043
167,ER,5,15,0.8711822966487404,0.057289448666990934
168,ER,5,15,0.8701500134205593,0.06150960054742443
169,ER,5,15,0.8693502739491427,0.06707525285115626
170,ER,5,15,0.86633036374123,0.07469566327172152
171,ER,5,15,0.8612929317010742,0.08190632351168514
172,ER,5,15,0.8611612715792925,0.0851083019067311
173,ER,5,15,0.8552260249974184,0.08901162949915296
174,ER,5,15,0.8557617896829018,0.09239383387652458
175,ER,5,15,0.8524285312780056,0.09602906999825218
176,ER,5,15,0.8517861746442685,0.09776018645747576
177,ER,5,15,0.8506609688297871,0.09617936482148928
178,ER,5,15,0.8489319394339677,0.09791388182747618
179,ER,5,15,0.845963795285428,0.10474835208563257
180,ER,6,15,0.8672171157274002,0.07140285544497635
181,ER,6,15,0.8643705939695379,0.07985937346187164
182,ER,6,15,0.8641034434283907,0.08253394541932627
183,ER,6,15,0.8629508190064497,0.08449316785260265
184,ER,6,15,0.860765366207851,0.09000476837673482
185,ER,6,15,0.8574186382352043,0.09435061682643929
186,ER,6,15,0.857980617387119,0.09405600074355557
187,ER,6,15,0.8573569563758884,0.09678490548194932
188,ER,6,15,0.8552224611923951,0.09832811621884428
189,ER,6,15,0.8526103859056968,0.10183175487613881
190,ER,6,15,0.8508652159784358,0.10180937148845795
191,ER,6,15,0.8501138650628987,0.10712597994858161
192,ER,6,15,0.8500107554062046,0.10279089332930384
193,ER,6,15,0.8503199788284904,0.10597379462659196
194,ER,6,15,0.8499459300821609,0.10341487606301702
195,ER,7,15,0.8622280185824049,0.061453638612065334
196,ER,7,15,0.8656565160171963,0.06363094652202059
197,ER,7,15,0.864302887946738,0.058092261782882966
198,ER,7,15,0.8666932158336141,0.057903275383914925
199,ER,7,15,0.8652612874189117,0.05783354034516174
200,ER,7,15,0.863610194755086,0.06070099543780064
201,ER,7,15,0.8670638973111181,0.06564077656422476
202,ER,7,15,0.8615438613065833,0.06664867592648555
203,ER,7,15,0.8649038449145934,0.0737993236760558
204,ER,7,15,0.8636836326018212,0.07469090636090162
205,ER,7,15,0.8668688576611681,0.07411774231023137
206,ER,7,15,0.8634625339017692,0.07391057063661896
207,ER,7,15,0.8665481849972979,0.07168884196604669
208,ER,7,15,0.8595356319111938,0.07111956579108229
209,ER,7,15,0.8675965938855932,0.07637397750871143
210,GRP,1,15,0.8155856933913522,0.07217655934476556
211,GRP,1,15,0.8111355409591348,0.1093988761171038
212,GRP,1,15,0.7854404113486425,0.14547032112682046
213,GRP,1,15,0.7317024153029216,0.2208634945839967
214,GRP,1,15,0.6675576790148001,0.3175118999713097
215,GRP,1,15,0.6463462072402233,0.3551968048306805
216,GRP,1,15,0.6701233526565707,0.32856245142480184
217,GRP,1,15,0.6959431195033533,0.29602020639858967
218,GRP,1,15,0.7228445189449075,0.2606033155660077
219,GRP,1,15,0.7410563257794464,0.2366587535504229
220,GRP,1,15,0.7484899667273389,0.22702698943624766
221,GRP,1,15,0.7541192292903125,0.22027863559524158
222,GRP,1,15,0.7655571039683955,0.20557039008609415
223,GRP,1,15,0.7675567855652271,0.20273527536048339
224,GRP,1,15,0.7701133498717998,0.1997267296498073
225,GRP,2,15,0.8181811330538192,0.10081535424443115
226,GRP,2,15,0.7855643929676634,0.15587463793952322
227,GRP,2,15,0.7529213837692039,0.21099919098385392
228,GRP,2,15,0.7452371175321152,0.22815496954647216
