,g,layers,epoch,kt,avg
0,SF,1,0,0.9631527064994252,0.0017342639271982706
1,SF,1,1,0.9639624793357802,0.0018844911071479041
2,SF,1,2,0.9684085941866444,0.0016134935302451984
3,SF,1,3,0.970960039120777,0.0014466564347922943
4,SF,1,4,0.9703108655430389,0.0014835148704750738
5,SF,1,5,0.9713027683811266,0.0013565163481433814
6,SF,1,6,0.9715954554634317,0.0013943815914032
7,SF,1,7,0.9716437913688525,0.0014019579232643561
8,SF,1,8,0.9715814940157139,0.001385702981145361
9,SF,1,9,0.971517878390349,0.0013380559192944798
10,SF,1,10,0.9713718346302359,0.0013811825723634582
11,SF,1,11,0.9713460442802864,0.0014275712306621835
12,SF,1,12,0.9711375291407807,0.0015365769385162534
13,SF,1,13,0.9710162613662453,0.0015654960968060295
14,SF,1,14,0.9708557308150592,0.0016059161069172183
15,SF,2,0,0.9667750012300743,0.0016358482166626445
16,SF,2,1,0.9710514205916511,0.001614572589433479
17,SF,2,2,0.972117808342887,0.001524429772527288
18,SF,2,3,0.9725733023057923,0.0013731378680921415
19,SF,2,4,0.9730904134706598,0.0012974789867663563
20,SF,2,5,0.9736129917097255,0.0012478395037793983
21,SF,2,6,0.9739486681197501,0.0013393908267202359
22,SF,2,7,0.9738761165662883,0.0012455490170627075
23,SF,2,8,0.9737946053986901,0.0012131685382974731
24,SF,2,9,0.9735060247174594,0.0011416563237312814
25,SF,2,10,0.9732991579807638,0.001242664683334345
26,SF,2,11,0.9729482080633692,0.0013860928870539381
27,SF,2,12,0.9726382810288235,0.0015049483025337568
28,SF,2,13,0.9725501054602865,0.0014092281824954413
29,SF,2,14,0.9722432566852202,0.001575554999721525
30,SF,3,0,0.9700486363277901,0.0018346679592521583
31,SF,3,1,0.9730659759823774,0.0019324861154590112
32,SF,3,2,0.9739684618725997,0.0019787983590038275
33,SF,3,3,0.9744589789032947,0.0019671143575866997
34,SF,3,4,0.9747470597428647,0.0019565020148394315
35,SF,3,5,0.9749996909063519,0.002017660409233702
36,SF,3,6,0.9751774228609206,0.0020794455830256886
37,SF,3,7,0.9751089416527556,0.001979457623443523
38,SF,3,8,0.975083447574183,0.001924876976675339
39,SF,3,9,0.9749656497442153,0.0020829736190104034
40,SF,3,10,0.9744977825800912,0.0020285237040065193
41,SF,3,11,0.9744583370540166,0.0018944939882393306
42,SF,3,12,0.9740664294252779,0.0017957769646014348
43,SF,3,13,0.9741846762442059,0.001777071060016933
44,SF,3,14,0.9738939021264779,0.00185956907656095
45,SF,4,0,0.9716253621024131,0.0015832679239024957
46,SF,4,1,0.9738900188216757,0.001834498957914432
47,SF,4,2,0.9747819707255008,0.0019083003955897408
48,SF,4,3,0.9752298922176322,0.0019482517224617161
49,SF,4,4,0.9754901352443609,0.0020029590297093777
50,SF,4,5,0.9757101764249194,0.0021084302020131884
51,SF,4,6,0.9757881673957867,0.002194160031426515
52,SF,4,7,0.9756633342468447,0.0021316173656850753
53,SF,4,8,0.9756094896728621,0.0021679647305757554
54,SF,4,9,0.9754142545899468,0.0021011236468827955
55,SF,4,10,0.9752521353758205,0.002131232483990357
56,SF,4,11,0.9750020886568451,0.002064251917390623
57,SF,4,12,0.9747699105319138,0.0020266831061509544
58,SF,4,13,0.97461382807211,0.0020428633055605714
59,SF,4,14,0.9744677313566203,0.0021314715188197183
60,SF,5,0,0.9728228415254904,0.0018558698024175133
61,SF,5,1,0.9750763532069451,0.0019392259236117797
62,SF,5,2,0.9756359702170334,0.002011248803540621
63,SF,5,3,0.9759068746265462,0.0020940266665131417
64,SF,5,4,0.9759761617527183,0.0021023665699660605
65,SF,5,5,0.9760798807703843,0.0021870783615482027
66,SF,5,6,0.9754693807013728,0.0021464977654041964
67,SF,5,7,0.9758831376839078,0.0022351975546781
68,SF,5,8,0.975903099343227,0.00221940063842757
69,SF,5,9,0.9757008557654313,0.002206392178501522
70,SF,5,10,0.9755435651156527,0.002261158080988585
71,SF,5,11,0.9752337933309937,0.002254405829568205
72,SF,5,12,0.974965934612334,0.0022427471939223216
73,SF,5,13,0.9745908204297196,0.002231648611998326
74,SF,5,14,0.9744758976579627,0.0023452088023843787
75,SF,6,0,0.9732161650818411,0.0018681498746392921
