,graph,nodes,size,copies,kendalltau,avg
85,2-soc-Epinions,100,300000,10,0.8991972747435508,0.0
86,2-soc-Epinions,100,300000,20,0.8994475834258807,0.0
87,2-soc-Epinions,100,300000,40,0.89979567578787,0.0
88,2-soc-Epinions,1000,300000,1,0.8755589990944652,0.0
89,2-soc-Epinions,1000,300000,10,0.8982263453833971,0.0
90,2-soc-Epinions,1000,300000,20,0.8971159564188619,0.0
91,2-soc-Epinions,1000,300000,40,0.8951061640125823,0.0
92,2-soc-Epinions,10000,300000,1,0.8677439017728495,0.0
93,2-soc-Epinions,10000,300000,10,0.8983302057648871,0.0
94,2-soc-Epinions,10000,300000,20,0.8969479444668298,0.0
95,2-soc-Epinions,10000,300000,40,0.8933206921433497,0.0
96,2-soc-Epinions,10,900000,1,0.19001557677487133,0.0
97,2-soc-Epinions,10,900000,10,0.8982629122110166,0.0
98,2-soc-Epinions,10,900000,20,0.8978146786952745,0.0
99,2-soc-Epinions,10,900000,40,0.8977475804633976,0.0
100,2-soc-Epinions,100,900000,1,-0.09659805125332516,0.0
101,2-soc-Epinions,100,900000,10,0.8965172073993342,0.0
102,2-soc-Epinions,100,900000,20,0.8964343041236735,0.0
103,2-soc-Epinions,100,900000,40,0.8967458817622066,0.0
104,2-soc-Epinions,1000,900000,1,0.10264661401607056,0.0
105,2-soc-Epinions,1000,900000,10,0.8962393005198128,0.0
106,2-soc-Epinions,1000,900000,20,0.8954356510333336,0.0
107,2-soc-Epinions,1000,900000,40,0.8960390569735367,0.0
108,2-soc-Epinions,10000,900000,1,0.1045205632586931,0.0
109,2-soc-Epinions,10000,900000,10,0.8969572388500772,0.0
110,2-soc-Epinions,10000,900000,20,0.8959595529533305,0.0
111,2-soc-Epinions,10000,900000,40,0.8929260814139186,0.0
112,3-email-EuAll,10,300000,1,0.9907158115277445,0.0
113,3-email-EuAll,10,300000,10,0.9948862632506594,0.0
114,3-email-EuAll,10,300000,20,0.9951494852119539,0.0
115,3-email-EuAll,10,300000,40,0.995183655023865,0.0
116,3-email-EuAll,100,300000,1,0.9865334311924588,0.0
117,3-email-EuAll,100,300000,10,0.9949735243117395,0.0
118,3-email-EuAll,100,300000,20,0.994759673821067,0.0
119,3-email-EuAll,100,300000,40,0.9949971090310256,0.0
120,3-email-EuAll,1000,300000,1,0.9899315061686962,0.0
121,3-email-EuAll,1000,300000,10,0.9949863050924702,0.0
122,3-email-EuAll,1000,300000,20,0.995265737630413,0.0
123,3-email-EuAll,1000,300000,40,0.9958088563509568,0.0
124,3-email-EuAll,10000,300000,1,0.9897052221555537,0.0
125,3-email-EuAll,10000,300000,10,0.9948949628299836,0.0
126,3-email-EuAll,10000,300000,20,0.99536108544614,0.0
127,3-email-EuAll,10000,300000,40,0.9960109361841987,0.0
128,3-email-EuAll,10,900000,1,0.21427691890641914,0.0
129,3-email-EuAll,10,900000,10,0.9956965856428446,0.0
130,3-email-EuAll,10,900000,20,0.9957356641313951,0.0
131,3-email-EuAll,10,900000,40,0.9957565708543201,0.0
132,3-email-EuAll,100,900000,1,-0.19065351637416836,0.0
133,3-email-EuAll,100,900000,10,0.9955060766234993,0.0
134,3-email-EuAll,100,900000,20,0.9955688166900944,0.0
135,3-email-EuAll,100,900000,40,0.9954283977601397,0.0
136,3-email-EuAll,1000,900000,1,0.09520246811864548,0.0
137,3-email-EuAll,1000,900000,10,0.9955658291124171,0.0
138,3-email-EuAll,1000,900000,20,0.9956498918847332,0.0
139,3-email-EuAll,1000,900000,40,0.9959168215667945,0.0
140,3-email-EuAll,10000,900000,1,0.07576664875270173,0.0
141,3-email-EuAll,10000,900000,10,0.9955165134043646,0.0
142,3-email-EuAll,10000,900000,20,0.9958079007813077,0.0
143,3-email-EuAll,10000,900000,40,0.9960570710842821,0.0
144,4-web-Google,10,900000,1,-0.2791307766736373,0.0
145,4-web-Google,10,900000,10,0.8089508077384747,0.0
146,4-web-Google,10,900000,20,0.8079164776808824,0.0
147,4-web-Google,10,900000,40,0.8051882302836519,0.0
148,4-web-Google,100,900000,1,-0.4291919270297197,0.0
149,4-web-Google,100,900000,10,0.8097224869941768,0.0
150,4-web-Google,100,900000,20,0.8097206627411813,0.0
151,4-web-Google,100,900000,40,0.8095876999506713,0.0
152,4-web-Google,1000,900000,1,-0.3433277571372651,0.0
153,4-web-Google,1000,900000,10,0.8091339493023932,0.0
154,4-web-Google,1000,900000,20,0.8085070044836806,0.0
155,4-web-Google,1000,900000,40,0.8084442554987037,0.0
156,4-web-Google,10000,900000,1,-0.35226392481510854,0.0
157,4-web-Google,10000,900000,10,0.8091231551228737,0.0
158,4-web-Google,10000,900000,20,0.8096384856151442,0.0
159,4-web-Google,10000,900000,40,0.8078592550314359,0.0
