,gtype_train,seed_train_graphs,graph,nodes,size,copies,epochs,kendalltau,std
27,GRP,1,1-wiki-Vote,10000,10000,40,12,0.9099373682934097,0.0
28,GRP,1,1-wiki-Vote,10000,10000,40,13,0.907894402193399,0.0
29,GRP,1,1-wiki-Vote,10000,10000,40,14,0.9086957447059385,0.0
30,ER,1,2-soc-Epinions,10000,100000,40,0,0.8265491383913997,0.0
31,ER,1,2-soc-Epinions,10000,100000,40,1,0.8474306717972553,0.0
32,ER,1,2-soc-Epinions,10000,100000,40,2,0.8679212742764871,0.0
33,ER,1,2-soc-Epinions,10000,100000,40,3,0.8788406426658343,0.0
34,ER,1,2-soc-Epinions,10000,100000,40,4,0.8847833059825869,0.0
35,ER,1,2-soc-Epinions,10000,100000,40,5,0.8899181378590731,0.0
36,ER,1,2-soc-Epinions,10000,100000,40,6,0.8901679136675631,0.0
37,ER,1,2-soc-Epinions,10000,100000,40,7,0.8922743971949851,0.0
38,ER,1,2-soc-Epinions,10000,100000,40,8,0.891097411379917,0.0
39,ER,1,2-soc-Epinions,10000,100000,40,9,0.8903265135517322,0.0
40,ER,1,2-soc-Epinions,10000,100000,40,10,0.8905870469541819,0.0
41,ER,1,2-soc-Epinions,10000,100000,40,11,0.8913895147341322,0.0
42,ER,1,2-soc-Epinions,10000,100000,40,12,0.8910972661830848,0.0
43,ER,1,2-soc-Epinions,10000,100000,40,13,0.89123373978352,0.0
44,ER,1,2-soc-Epinions,10000,100000,40,14,0.8905361791897023,0.0
45,GRP,1,2-soc-Epinions,10000,100000,40,0,0.8389452747198305,0.0
46,GRP,1,2-soc-Epinions,10000,100000,40,1,0.8103657083008773,0.0
47,GRP,1,2-soc-Epinions,10000,100000,40,2,0.8726476814478614,0.0
48,GRP,1,2-soc-Epinions,10000,100000,40,3,0.8781085185022861,0.0
49,GRP,1,2-soc-Epinions,10000,100000,40,4,0.8781096546785034,0.0
50,GRP,1,2-soc-Epinions,10000,100000,40,5,0.8663227357462605,0.0
51,GRP,1,2-soc-Epinions,10000,100000,40,6,0.8596234107218601,0.0
52,GRP,1,2-soc-Epinions,10000,100000,40,7,0.8588863995235061,0.0
53,GRP,1,2-soc-Epinions,10000,100000,40,8,0.8627376497031625,0.0
54,GRP,1,2-soc-Epinions,10000,100000,40,9,0.862471972566408,0.0
