,g,layers,epoch,kt,std
15,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,0,0.7481858273094113,0.07395651201667652
16,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,1,0.7908956568594523,0.06959600242446033
17,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,2,0.8118943151344669,0.06372460177477665
18,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,3,0.8251136976767196,0.06037694239249899
19,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,4,0.8379514654234279,0.05767173059434706
20,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,5,0.847654878510404,0.05568805815040218
21,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,6,0.8530960556464754,0.054041546309972086
22,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,7,0.8563071150257864,0.053356657877551554
23,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,8,0.8581692236385716,0.05285010100828413
24,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,9,0.8590132872863887,0.05278491618491118
25,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,10,0.8595519873676253,0.0524870788369953
26,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,11,0.860192963479865,0.05224455814848733
27,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,12,0.8602884735713529,0.05207385199778475
28,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,13,0.8602302861263412,0.05197438607621788
29,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,2,14,0.8600140905491346,0.05246652134130687
30,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,0,0.7569172914110911,0.07180781414381548
31,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,1,0.8265099205995469,0.06426546278033063
32,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,2,0.8463407624140649,0.05745031141822367
